SampleI D,Long.,Lat.,pH,Cond. (μS),TDS(mg/ l),DO(mg/l),Ca(mg/ l),Mg(mg/l),Na(m g/l),K(mg/l),Cl(mg/l),HCO3(mg/l),SO4(mg/l),PO4(mg/l),SiO2,18OD,D,d-ex ,WQI
post16,76.69,11.4,6.68,712,569.6,1.5,46,10.95,49.2,4.8,85.2,229.6,0.24,0.91,18.71,-4.49,-30.56,5.38,189.35
post16,76.69,11.4,6.72,714,571.2,1.5,48,4.88,49.1,4.9,99.4,164.8,0.25,0.84,18.38,-4.40,-31.30,3.94,152.26
post16,76.69,11.4,6.65,716,572.8,2,49,4.77,49.3,4.9,92.3,161.2,0.2,1.34,18.27,-4.40,-28.38,6.79,141.33
post16,76.69,11.4,,704,563.2,,30,7.97,51.4,5.7,106.5,149,0.2,0.85,18.27,-4.91,-30.34,8.97,179.51
post16,76.69,11.4,6.53,705,564,1.5,42,8.24,47.3,4.8,78.1,190.4,0.29,1.75,18.45,-4.11,-30.20,2.7,140.32
pre17,76.69,11.41,7.23,717,573.6,11.5,54,4.31,58,13,134.9,192.8,0.06,0.69,20.97,-3.48,-24.04,3.81,307.47
pre17,76.68,11.4,7.41,718,574.4,9,54,4.41,59,14,99.4,144,0.06,0.47,53.07,-3.55,-24.71,3.67,276.61
pre17,76.68,11.41,7.46,719,575.2,10,55,5.16,42,12,92.3,159.6,0.01,0,20.19,-3.49,-25.56,2.4,350.07
pre17,76.68,11.41,7.5,720,576,10,62,7.27,41,15,99.4,168.4,0.04,0.09,19.46,-3.54,-26.57,1.76,307.49
pre17,76.68,11.41,7.44,721,576.8,8.5,49,5.45,45,15,92.3,141.6,0.01,0,19.61,-3.67,-25.87,3.45,283.21
pre17,76.69,11.4,7.47,722,577.6,7.5,70,1.2,43,15,92.3,195.2,0.01,0.5,19.39,-3.51,-26.00,2.04,334.28
pre17,76.69,11.4,7.4,723,578.4,5,65,1.8,45,15,99.4,195.2,0.02,0.14,19.61,-3.60,-24.09,4.7,231.25
pre17,76.69,11.4,7.46,724,579.2,7.5,62,1.23,40,13,106.5,195.2,0.08,1,36.99,-3.52,-24.23,3.96,257.97
pre17,76.69,11.4,7.46,725,580,6.5,55,4.23,42,13,92.3,204,0.02,0.3,19.83,-3.64,-25.74,3.4,275.21
pre17,76.69,11.4,7.53,726,580.8,8,52,3.67,41,15,99.4,195.2,0.01,0.06,19.36,-3.33,-24.25,2.37,264.2
pre17,76.69,11.41,7.32,727,581.6,6.5,50,1.23,31,14,99.4,144,0.03,0.42,22.01,-3.57,-26.35,2.2,362.55
pre17,76.7,11.4,7.08,732,585.6,12.5,54,8.48,37,14,106.5,217.2,0.02,0.81,18.01,-3.51,-25.84,2.28,367.11
pre17,76.7,11.4,7.43,734,587.2,9.5,51,6.94,39,15,99.4,174,0.01,0.63,19.24,-3.64,-26.90,2.24,435.73
pre17,76.7,11.4,7.13,737,589.6,16.5,58,6.12,41,13,99.4,195.2,0.01,1.92,27.48,-3.47,-22.49,5.28,430.66
pre17,76.7,11.4,7.39,739,591.2,12.5,55,7.8,40,15,127.8,155.2,0.02,0,19.31,-3.46,-23.98,3.7,367.71
pre17,76.7,11.4,6.7,741,592.8,14,52,5.13,43,16,113.6,117.2,0.06,1.15,20.01,-3.42,-25.06,2.32,419.96
pre17,76.69,11.41,7.43,728,582.4,6.5,54,4.87,40,15,99.4,209.2,0.01,0.78,17.89,-3.45,-26.43,1.16,409.54
pre17,76.68,11.41,7.14,733,586.4,11.5,56,7.12,40,15,99.4,204,0.03,1.01,24.89,-3.52,-26.60,1.53,473.28
pre17,76.68,11.4,7.25,735,588,8,60,8.34,45,14,106.5,219.6,0,0.91,26.19,-3.75,-28.98,1.02,446.82
pre17,76.68,11.4,7.4,736,588.8,10.5,58,6.12,40,14,92.3,238.4,0.04,0.67,18.87,-3.67,-24.87,4.52,419.59
pre17,76.69,11.4,7.4,738,590.4,13.5,64,5.9,42,15,127.8,192.8,0,1.06,36.09,-3.53,-25.83,2.44,440.73
pre17,76.69,11.4,6.85,740,592,13,57,6.38,42,14,120.7,189.6,0.04,0.67,37.36,-3.52,-23.81,4.39,503.87
pre17,76.69,11.4,6.89,742,593.6,12.5,51,5.63,41,11,134.9,125.2,0.14,1.23,19.49,-3.38,-22.91,4.12,425.36
pre17,76.69,11.4,7.42,730,584,5,58,8.48,41,14,92.3,244,0.01,0.6,19.16,-4.50,-28.00,8.02,635.57
pre17,76.69,11.4,7.46,729,583.2,7,52,0.02,50,14,85.2,192.8,0.06,0.52,27.31,-3.99,-24.81,7.09,459.18
pre17,76.69,11.4,7.4,731,584.8,4.5,55,9.09,39,13,92.3,217.2,0.05,0.64,18.92,-4.51,-27.60,8.46,242.28
