SampleI D,Long.,Lat.,pH,Cond. (μS),TDS(mg/ l),DO(mg/l),Ca(mg/ l),Mg(mg/l),Na(m g/l),K(mg/l),Cl(mg/l),HCO3(mg/l),SO4(mg/l),PO4(mg/l),SiO2,18OD,D,d-ex ,WQI,SAR,PI,Na%,RSC
post16,76.68,11.4,6.83,693.0,554.4,1.5,54.0,8.9,59.2,4.7,92.3,288.0,0.22,0.43,19.68,-4.43,-27.41,8.03,393.33,64.03682261735024,689.3334166642671,50.394321766561525,225.1
post16,76.68,11.41,6.72,694.0,555.2,1.5,42.0,10.95,39.3,4.9,78.1,188.0,0.79,0.78,18.92,-4.22,-26.34,7.45,278.77,35.584092092219926,551.9317053686225,45.496654657745744,135.05
post16,76.68,11.41,6.68,695.0,556.0,2.0,67.0,10.07,45.1,4.8,71.0,194.0,0.24,0.54,18.45,-4.44,-29.77,5.74,311.3,30.021168115219314,534.0459653590822,39.30062219421911,116.93
post16,76.68,11.41,6.65,696.0,556.8,1.5,53.0,6.1,39.3,4.8,78.1,188.0,0.22,0.58,18.84,-4.45,-29.0,6.6,301.35,28.950204152688205,534.4055757841335,42.73255813953487,128.9
post16,76.69,11.4,6.78,697.0,557.6,1.5,65.0,8.85,39.3,4.3,78.1,285.6,0.21,0.56,18.14,-4.27,-28.96,5.23,202.56,23.544157461591436,528.3317984045192,37.122179650915285,211.75000000000003
post16,76.69,11.4,6.81,698.0,558.4,1.5,42.0,5.53,49.5,4.9,85.2,185.6,0.19,0.61,19.43,-4.59,-28.88,7.84,160.6,57.840078975671176,640.8230401854019,53.369959776317074,138.07
post16,76.69,11.4,6.68,699.0,559.2,2.0,52.0,8.81,54.4,4.9,85.2,285.6,0.19,0.88,17.81,-4.23,-27.37,6.45,138.65,56.11115439683086,664.2669413925828,49.37140954125384,224.79000000000002
post16,76.69,11.4,6.64,700.0,560.0,1.5,69.0,12.77,59.2,4.9,99.4,212.4,0.19,0.72,17.48,-4.39,-28.98,6.18,39.28,49.943753272495954,621.3548368917582,43.94323712895044,130.63
post16,76.69,11.4,6.66,701.0,560.8,1.5,70.0,7.96,59.6,4.9,78.1,312.4,0.28,0.8,18.22,-3.9,-26.62,4.56,101.75,50.420199680601065,658.8583220149845,45.275866910009825,234.44
post16,76.69,11.41,6.7,702.0,561.6,2.0,55.0,8.0,49.5,4.9,78.1,266.0,0.22,0.65,18.56,-4.55,-28.79,7.6,47.63,44.086075870124986,620.4579768453987,46.33730834752981,203.0
post16,76.7,11.4,6.68,706.0,564.8,1.5,50.0,8.53,39.3,4.8,85.2,166.0,0.19,0.77,18.96,-4.22,-33.3,0.44,195.75,30.449866108144658,527.5968092424602,42.96989184448991,107.47
post16,76.7,11.4,6.63,708.0,566.4,1.5,51.0,6.42,49.1,4.8,92.3,117.2,0.19,0.73,28.09,-4.39,-29.29,5.86,113.72,46.900642509161464,580.6293021718402,48.418972332015805,59.78
post16,76.7,11.4,6.83,711.0,568.8,1.5,67.0,7.0,37.5,4.8,85.2,188.0,0.32,0.42,18.04,-4.41,-27.64,7.6,120.26,20.875182918947445,484.9851544175299,36.37145313843508,114.0
post16,76.7,11.4,6.6,713.0,570.4,1.5,48.0,5.81,49.2,4.8,85.2,114.8,0.28,1.42,18.25,-4.36,-31.0,3.91,134.36,50.064583336141126,590.3262198297558,50.08811798534458,60.989999999999995
post16,76.7,11.4,6.76,715.0,572.0,1.5,42.0,6.1,49.2,4.9,92.3,190.4,0.22,0.95,18.08,-3.59,-27.05,1.63,154.02,57.035864793099165,638.6665019401204,52.93542074363992,142.3
post16,76.69,11.41,6.66,703.0,562.4,2.5,42.0,5.53,49.4,4.8,85.2,169.2,0.2,0.76,25.49,-4.29,-28.04,6.28,162.23,57.60661774474804,633.8828493953314,53.27828565811461,121.66999999999999
post16,76.68,11.41,6.78,707.0,565.6,3.0,48.0,9.74,48.4,4.8,85.2,185.6,0.21,0.56,18.6,-4.43,-30.71,4.76,153.42,47.82859065843507,602.0281405875421,47.95384892734811,127.85999999999999
post16,76.68,11.4,6.77,709.0,567.2,2.5,50.0,1.03,49.1,4.8,78.1,227.2,0.34,0.54,19.81,-4.54,-27.87,8.45,157.36,48.20597274159845,641.3148302014721,51.3675783855904,176.17
post16,,,6.75,710.0,568.0,3.5,47.0,7.92,39.0,4.8,85.2,161.2,0.24,0.79,18.89,-4.3,-27.78,6.65,122.64,31.91179265656896,533.4352748451041,44.367909238249595,106.27999999999999
post16,76.69,11.4,6.68,712.0,569.6,1.5,46.0,10.95,49.2,4.8,85.2,229.6,0.24,0.91,18.71,-4.49,-30.56,5.38,189.35,51.19219774600709,624.6055118236568,48.67057232987832,172.64999999999998
post16,76.69,11.4,6.72,714.0,571.2,1.5,48.0,4.88,49.1,4.9,99.4,164.8,0.25,0.84,18.38,-4.4,-31.3,3.94,152.26,49.96763667233163,613.3322256727737,50.523952095808376,111.92000000000002
post16,76.69,11.4,6.65,716.0,572.8,2.0,49.0,4.77,49.3,4.9,92.3,161.2,0.2,1.34,18.27,-4.4,-28.38,6.79,141.33,49.3684699635754,610.6617631675491,50.19912938779291,107.42999999999999
post16,76.69,11.4,,704.0,563.2,,30.0,7.97,51.4,5.7,106.5,149.0,0.2,0.85,18.27,-4.91,-30.34,8.97,179.51,85.11295487894228,672.8310103262843,60.06100767855265,111.03
post16,76.69,11.4,6.53,705.0,564.0,1.5,42.0,8.24,47.3,4.8,78.1,190.4,0.29,1.75,18.45,-4.11,-30.2,2.7,140.32,52.27230902771748,618.6421871865386,50.90873558725816,140.16
pre17,76.69,11.41,7.23,717.0,573.6,11.5,54.0,4.31,58.0,13.0,134.9,192.8,0.06,0.69,20.97,-3.48,-24.04,3.81,307.47,62.09881302502185,666.5476830505262,54.906813084834894,134.49
pre17,76.68,11.4,7.41,718.0,574.4,9.0,54.0,4.41,59.0,14.0,99.4,144.0,0.06,0.47,53.07,-3.55,-24.71,3.67,276.61,64.24906622449257,655.2481518731466,55.55132790503006,85.59
pre17,76.68,11.41,7.46,719.0,575.2,10.0,55.0,5.16,42.0,12.0,92.3,159.6,0.01,0.0,20.19,-3.49,-25.56,2.4,350.07,31.932502587190143,540.5263960745896,47.30203223545901,99.44
pre17,76.68,11.41,7.5,720.0,576.0,10.0,62.0,7.27,41.0,15.0,99.4,168.4,0.04,0.09,19.46,-3.54,-26.57,1.76,307.49,26.928409770249097,514.0191177126892,44.703440568372315,99.13000000000001
pre17,76.68,11.41,7.44,721.0,576.8,8.5,49.0,5.45,45.0,15.0,92.3,141.6,0.01,0.0,19.61,-3.67,-25.87,3.45,283.21,41.073255212742026,570.567020962823,52.424639580602886,87.14999999999999
pre17,76.69,11.4,7.47,722.0,577.6,7.5,70.0,1.2,43.0,15.0,92.3,195.2,0.01,0.5,19.39,-3.51,-26.0,2.04,334.28,26.41040528674385,533.1186000738278,44.89164086687307,123.99999999999999
pre17,76.69,11.4,7.4,723.0,578.4,5.0,65.0,1.8,45.0,15.0,99.4,195.2,0.02,0.14,19.61,-3.6,-24.09,4.7,231.25,31.141907639755456,557.7255387545052,47.3186119873817,128.39999999999998
